,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,"1,3","1,6","1,12","1,k","2,3","2,6","2,12","2,k","3,3","3,6","3,12","3,k","4,3","4,6","4,12","4,k"
0,0,0,0,0,0,0,0,0,0,0,0,0,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
1,1,1,1,1,1,1,1,1,1,1,1,1,(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j)
2,2,2,2,2,2,2,2,2,2,2,2,2,(1.000000183004052-9.77967901369392e-07j),(1.000000183004052-9.77967901369392e-07j),(1.000000183004052-9.77967901369392e-07j),(1.000000183004052-9.77967901369392e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j)
3,3,3,3,3,3,3,3,3,3,3,3,3,(1.0000009710047282-5.672607211008873e-07j),(1.0000009710047282-5.672607211008873e-07j),(1.0000009710047282-5.672607211008873e-07j),(1.0000009710047282-5.672607211008873e-07j),(1.0000006148831606-9.245048531811989e-07j),(1.0000006148831606-9.245048531811989e-07j),(1.0000006148831606-9.245048531811989e-07j),(1.0000006148831606-9.245048531811989e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j)
4,4,4,4,4,4,4,4,4,4,4,4,4,(1.0000014765574565-7.647164365250092e-07j),(1.0000014765574565-7.647164365250092e-07j),(1.0000014765574565-7.647164365250092e-07j),(1.0000014765574565-7.647164365250092e-07j),(1.0000000886053981-1.0850526114200565e-06j),(1.0000000886053981-1.0850526114200565e-06j),(1.0000000886053981-1.0850526114200565e-06j),(1.0000000886053981-1.0850526114200565e-06j),(1.0000000886053981-1.085052611347198e-06j),(1.0000000886053981-1.085052611347198e-06j),(1.0000000886053981-1.085052611347198e-06j),(1.0000000886053981-1.085052611347198e-06j),(1.0000000886053981-1.085052611392301e-06j),(1.0000000886053981-1.085052611392301e-06j),(1.0000000886053981-1.085052611392301e-06j),(1.0000000886053981-1.085052611392301e-06j)
5,5,5,5,5,5,5,5,5,5,5,5,5,(1.000002030801775-1.180404523806744e-06j),(1.000002030801775-1.180404523806744e-06j),(1.000002030801775-1.180404523806744e-06j),(1.000002030801775-1.180404523806744e-06j),(0.9924994312244072+0.006368664787035322j),(0.9924994312244072+0.006368664787035322j),(0.9924994312244072+0.006368664787035322j),(0.9924994312244072+0.006368664787035322j),(0.9999996914933316-7.489407387942237e-07j),(0.9999996914933316-7.489407387942237e-07j),(0.9999996914933316-7.489407387942237e-07j),(0.9999996914933316-7.489407387942237e-07j),(0.9999996914933318-7.489407388011626e-07j),(0.9999996914933318-7.489407388011626e-07j),(0.9999996914933318-7.489407388011626e-07j),(0.9999996914933318-7.489407388011626e-07j)
6,6,6,6,6,6,6,6,6,6,6,6,6,(1.0000024921970585-1.6999834910047529e-06j),(1.0000024921970585-1.6999834910047529e-06j),(1.0000024921970585-1.6999834910047529e-06j),(1.0000024921970585-1.6999834910047529e-06j),(1.0040367697873829+0.002130639421240421j),(1.0040367697873829+0.002130639421240421j),(1.0040367697873829+0.002130639421240421j),(1.0040367697873829+0.002130639421240421j),(1.0000005920288333-3.480912349335119e-08j),(1.0000005920288333-3.480912349335119e-08j),(1.0000005920288333-3.480912349335119e-08j),(1.0000005920288333-3.480912349335119e-08j),(1.0000005920288337-3.480912345865672e-08j),(1.0000005920288337-3.480912345865672e-08j),(1.0000005920288337-3.480912345865672e-08j),(1.0000005920288337-3.480912345865672e-08j)
7,7,7,7,7,7,7,7,7,7,7,7,7,(1.0005621728287304-0.0003412541643194808j),(1.0000026936904962-2.2353738850303118e-06j),(1.0000026936904962-2.2353738850303118e-06j),(1.0000026936904962-2.2353738850303118e-06j),(1.000195000711166+0.00108877610015113j),(1.000195000711166+0.00108877610015113j),(1.000195000711166+0.00108877610015113j),(1.000195000711166+0.00108877610015113j),(0.9974842404718395-0.004738340234982687j),(0.9974842404718395-0.004738340234982687j),(0.9974842404718395-0.004738340234982687j),(0.9974842404718395-0.004738340234982687j),(1.000001492400581+4.892219209601256e-08j),(1.000001492400581+4.892219209601256e-08j),(1.000001492400581+4.892219209601256e-08j),(1.000001492400581+4.892219209601256e-08j)
8,8,8,8,8,8,8,8,8,8,8,8,8,(1.004877158683931-0.00015076849445259943j),(1.0000027526657014-2.6634651900669937e-06j),(1.0000027526657014-2.6634651900669937e-06j),(1.0000027526657014-2.6634651900669937e-06j),(1.0010287346282276-0.0022208807005874714j),(1.0010287346282276-0.0022208807005874714j),(1.0010287346282276-0.0022208807005874714j),(1.0010287346282276-0.0022208807005874714j),(0.9981023640813064-0.0030912933097947543j),(0.9981023640813064-0.0030912933097947543j),(0.9981023640813064-0.0030912933097947543j),(0.9981023640813064-0.0030912933097947543j),(1.0000022682749867-2.3451824944509259e-07j),(1.0000022682749867-2.3451824944509259e-07j),(1.0000022682749867-2.3451824944509259e-07j),(1.0000022682749867-2.3451824944509259e-07j)
9,9,9,9,9,9,9,9,9,9,9,9,9,(1.0211690043276693+0.004606045327416142j),(1.0000028159502667-2.984635252108875e-06j),(1.0000028159502667-2.984635252108875e-06j),(1.0000028159502667-2.984635252108875e-06j),(1.0010333112410328-0.00045640430858101544j),(1.0010333112410328-0.00045640430858101544j),(1.0010333112410328-0.00045640430858101544j),(1.0010333112410328-0.00045640430858101544j),(0.9975476259238761-0.0009887403700318195j),(0.9975476259238761-0.0009887403700318195j),(0.9975476259238761-0.0009887403700318195j),(0.9975476259238761-0.0009887403700318195j),(0.9998600341154827+0.0013848559581493836j),(0.9998600341154827+0.0013848559581493836j),(0.9998600341154827+0.0013848559581493836j),(0.9998600341154827+0.0013848559581493836j)
10,10,10,10,10,10,10,10,10,10,10,10,10,(1.0591378481843106+0.008882499066704207j),(1.0000029148141698-3.253059871043823e-06j),(1.0000029148141698-3.253059871043823e-06j),(1.0000029148141698-3.253059871043823e-06j),(0.9984774360288026-0.0012319354193823275j),(0.9984774360288026-0.0012319354193823275j),(0.9984774360288026-0.0012319354193823275j),(0.9984774360288026-0.0012319354193823275j),(0.9953656450934932+0.0020888415368805306j),(0.9953656450934932+0.0020888415368805306j),(0.9953656450934932+0.0020888415368805306j),(0.9953656450934932+0.0020888415368805306j),(1.0003751274408283+0.003018313669597223j),(1.0003751274408283+0.003018313669597223j),(1.0003751274408283+0.003018313669597223j),(1.0003751274408283+0.003018313669597223j)
11,11,11,11,11,11,11,11,11,11,11,11,11,(1.122195189274636-0.0034159580941096074j),(1.0000030419965689-3.5119727654440297e-06j),(1.0000030419965689-3.5119727654440297e-06j),(1.0000030419965689-3.5119727654440297e-06j),(1.0027608557907493+0.0006134729679062433j),(1.0027608557907493+0.0006134729679062433j),(1.0027608557907493+0.0006134729679062433j),(1.0027608557907493+0.0006134729679062433j),(0.9972544379862901+0.007739425272926523j),(0.9972544379862901+0.007739425272926523j),(0.9972544379862901+0.007739425272926523j),(0.9972544379862901+0.007739425272926523j),(1.0010917999281823+0.0033915947088349035j),(1.0010917999281823+0.0033915947088349035j),(1.0010917999281823+0.0033915947088349035j),(1.0010917999281823+0.0033915947088349035j)
12,12,12,12,12,12,12,12,12,12,12,12,12,(1.203776573470812-0.05621067109858445j),(1.0000031827262517-3.7827741030402665e-06j),(1.0000031827262517-3.7827741030402665e-06j),(1.0000031827262517-3.7827741030402665e-06j),(1.0029639507419017-0.0011536713823034894j),(1.0029639507419017-0.0011536713823034894j),(1.0029639507419017-0.0011536713823034894j),(1.0029639507419017-0.0011536713823034894j),(1.0012076263691607+0.005172582509112169j),(1.0012076263691607+0.005172582509112169j),(1.0012076263691607+0.005172582509112169j),(1.0012076263691607+0.005172582509112169j),(0.9999464949099122+0.0021029743032802434j),(0.9999464949099122+0.0021029743032802434j),(0.9999464949099122+0.0021029743032802434j),(0.9999464949099122+0.0021029743032802434j)
13,13,13,13,13,13,13,13,13,13,13,13,13,(1.283135839746454-0.17140048392923324j),(1.0000121321629718-9.573891058634564e-06j),(1.0000033192784268-4.063244018032673e-06j),(1.0000033192784268-4.063244018032673e-06j),(1.0106038960016657-0.007100416853049999j),(1.0032780584196623-0.003600893394429728j),(1.0032780584196623-0.003600893394429728j),(1.0032780584196623-0.003600893394429728j),(1.004984132072529+0.0022866161108724254j),(1.004984132072529+0.0022866161108724254j),(1.004984132072529+0.0022866161108724254j),(1.004984132072529+0.0022866161108724254j),(1.00183595158738+0.0023744250496528776j),(1.00183595158738+0.0023744250496528776j),(1.00183595158738+0.0023744250496528776j),(1.00183595158738+0.0023744250496528776j)
14,14,14,14,14,14,14,14,14,14,14,14,14,(1.328481675513613-0.35711078129712753j),(1.0000832104283268-1.1823562250123899e-05j),(1.0000034458822118-4.341556413567339e-06j),(1.0000034458822118-4.341556413567339e-06j),(1.0134971661807508-0.020142408394528223j),(1.0006976334633466-0.004465286316451856j),(1.0006976334633466-0.004465286316451856j),(1.0006976334633466-0.004465286316451856j),(1.0052872035914548-0.0004403922788355432j),(1.0052872035914548-0.0004403922788355432j),(1.0052872035914548-0.0004403922788355432j),(1.0052872035914548-0.0004403922788355432j),(1.0025567534766504+0.0004381621975676336j),(1.0025567534766504+0.0004381621975676336j),(1.0025567534766504+0.0004381621975676336j),(1.0025567534766504+0.0004381621975676336j)
15,15,15,15,15,15,15,15,15,15,15,15,15,(1.3051843683722038-0.601082939028556j),(1.000265223392399+0.00012074728649766287j),(1.0000035681164872-4.611499331314429e-06j),(1.0000035681164872-4.611499331314429e-06j),(1.0268078258784477-0.04523284812119306j),(0.998003214382325-0.004390284045714784j),(0.998003214382325-0.004390284045714784j),(0.998003214382325-0.004390284045714784j),(1.0022081085795485-0.002860970094220254j),(1.0022081085795485-0.002860970094220254j),(1.0022081085795485-0.002860970094220254j),(1.0022081085795485-0.002860970094220254j),(1.0022453838184395-0.00039479384030323764j),(1.0022453838184395-0.00039479384030323764j),(1.0022453838184395-0.00039479384030323764j),(1.0022453838184395-0.00039479384030323764j)
16,16,16,16,16,16,16,16,16,16,16,16,16,(1.1868016842698663-0.8708017384074022j),(1.0004021145193918+0.0005168076811753735j),(1.0000036925609241-4.874025072294048e-06j),(1.0000036925609241-4.874025072294048e-06j),(1.0288455883971608-0.08313728369049786j),(0.9969522785986067-0.0022888033937963795j),(0.9969522785986067-0.0022888033937963795j),(0.9969522785986067-0.0022888033937963795j),(1.0005289214380808-0.003746754676374861j),(1.0005289214380808-0.003746754676374861j),(1.0005289214380808-0.003746754676374861j),(1.0005289214380808-0.003746754676374861j),(1.0012242186404137-0.0011342305968295365j),(1.0012242186404137-0.0011342305968295365j),(1.0012242186404137-0.0011342305968295365j),(1.0012242186404137-0.0011342305968295365j)
17,17,17,17,17,17,17,17,17,17,17,17,17,(0.9645884483541636-1.1208195986336533j),(1.0000560482393523+0.0009916273167416543j),(1.0000038219830383-5.133114128420303e-06j),(1.0000038219830383-5.133114128420303e-06j),(1.0367669248460378-0.13966652059928314j),(0.9964369403139262-0.0004810237184432731j),(0.9964369403139262-0.0004810237184432731j),(0.9964369403139262-0.0004810237184432731j),(0.9989128521338451-0.0030594766173583127j),(0.9989128521338451-0.0030594766173583127j),(0.9989128521338451-0.0030594766173583127j),(0.9989128521338451-0.0030594766173583127j),(0.9986140964585004-0.0018574218561918888j),(0.9986140964585004-0.0018574218561918888j),(0.9986140964585004-0.0018574218561918888j),(0.9986140964585004-0.0018574218561918888j)
18,18,18,18,18,18,18,18,18,18,18,18,18,(0.6518825653997034-1.3041658026112308j),(0.9983721398259051+0.0009165652640731786j),(1.0000039556320444-5.392495274379348e-06j),(1.0000039556320444-5.392495274379348e-06j),(1.0199593294323726-0.20707624517679324j),(0.9975245273910627+0.0008167280012062542j),(0.9975245273910627+0.0008167280012062542j),(0.9975245273910627+0.0008167280012062542j),(0.9982194674193066-0.0010277559048072079j),(0.9982194674193066-0.0010277559048072079j),(0.9982194674193066-0.0010277559048072079j),(0.9982194674193066-0.0010277559048072079j),(0.9983382152481453+0.00013679418361494397j),(0.9983382152481453+0.00013679418361494397j),(0.9983382152481453+0.00013679418361494397j),(0.9983382152481453+0.00013679418361494397j)
19,19,19,19,19,19,19,19,19,19,19,19,19,(0.28213388619805607-1.3840880000939122j),(0.9939224995950383-0.00013003468409431137j),(1.0000040912004173-5.653803744844112e-06j),(1.0000040912004173-5.653803744844112e-06j),(1.000648701365535-0.29264607441460155j),(0.9983807424471584+0.001467530104841384j),(0.9983807424471584+0.001467530104841384j),(0.9983807424471584+0.001467530104841384j),(1.0023432186102996-0.009898594804330717j),(0.9984389636957888-0.00031067225316725594j),(0.9984389636957888-0.00031067225316725594j),(0.9984389636957888-0.00031067225316725594j),(0.9998930718639488+0.0009207826657979257j),(0.9998930718639488+0.0009207826657979257j),(0.9998930718639488+0.0009207826657979257j),(0.9998930718639488+0.0009207826657979257j)
