(-1.1193245122035204e-06-7.547787852657462e-06j),(-2.0338299565671057e-06-2.633970978255719e-06j),(-5.484013984341421e-05-2.2634171054000314e-05j),(-2.6496419956558578e-05+2.1785280780078098e-07j),(-0.0001939905479965962+9.138008956820501e-05j),(-7.675764515231651e-05+6.81134696169725e-05j),(-0.0004083839345760332+0.00023376289890015298j),(-0.00018733600541499934+0.00021495899107219153j),(-0.0007114437478837587+0.0005074028481568738j),(-0.00036210095001538214+0.0004907310815582161j),(-0.0010591492846028562+0.0009041818115940167j),(-0.0006037971164014521+0.0009241733780145512j),(-0.0014354559321041339+0.0014278149281701656j),(-0.0009066868089538595+0.0015395858618996393j),(-0.0018168071277065712+0.0020707250736916338j),(-0.001260871609776193+0.0023483657734339235j),(-0.002185379382053613+0.002818810594314951j),(-0.0016543927055884663+0.0033507458590998867j),(-0.002525935161681711+0.003654591798813454j),(-0.0020737675692326747+0.004536295404933334j),(-0.0028245855921318432+0.004557036123304792j),(-0.0025041704909194253+0.0058843543463301j),(-0.0030689079882812594+0.005500976690380104j),(-0.0029296731274583766+0.007364398073433243j),(-0.0032487664660510044+0.006457381986032598j),(-0.003333619828474271+0.008936843482710587j),(-0.003356777426624364+0.007394519707161291j),(-0.0036985337557093627+0.010554521728428658j),(-0.003387855903337001+0.008279372780705861j),(-0.004004945526012893+0.012164085068390054j),(-0.003337930638613099+0.009078426469769389j),(-0.004229634561942947+0.013706202731209318j),(-0.003202596485204501+0.009757182929622087j),(-0.004344434434163962+0.015114143306078425j),(-0.002976931316655092+0.010278261698879926j),(-0.004316868933957912+0.016310316864547397j),(-0.0026582728178762205+0.01059894972256446j),(-0.004116365055211431+0.01720106831546079j),(-0.002253039603292274+0.010671464903268122j),(-0.003730023277830063+0.017676760115862455j),(-0.0017844319392464156+0.01045005134700245j),(-0.003180306078520126+0.01762765242419265j),(-0.0012946066579877082+0.009903936312548337j),(-0.002529267728676327+0.016970726114672586j),(-0.000839399074524483+0.009030185732706824j),(-0.00187147721244546+0.01567319581719703j),(-0.0004781367148617223+0.007863821099174113j),(-0.0013217652781088343+0.01377889487901259j),(-0.0002575198422233299+0.006483899453218692j),(-0.000975796396346046+0.011432737765789935j),(-0.0001910602986719194+0.005007852744703644j),(-0.0008558668816403139+0.008856440377918186j),(-0.00024577656248649267+0.0035702809000034376j),(-0.0009100303170314347+0.006292544043301222j),(-0.00034718205671893963+0.002292951175429445j),(-0.001033121249693024+0.00398747922100828j),(-0.00040991164457960887+0.0012601124330250183j),(-0.0010620902362950217+0.0021415649877117577j),(-0.0003800311137761209+0.0005225943513509796j),(-0.0008828058635596287+0.0008291725389167507j),(-0.00025135248286721154+0.0001084723613317858j),(-0.0005500657616596673+8.488349068431118e-05j),(-9.07222493973954e-05-2.0557436577196855e-05j),(-0.0001955065820849276-0.0001070124472143937j),(-7.26621116570957e-06-2.2365181697324138e-05j),(1.4572442034622768e-05-5.9551872172994775e-05j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0006073823789712993+0.0005370550156891553j),(-0.0001187121594832752+0.00032686100259759837j),(0.00039024177764693246+0.0035373891951383757j),(0.0006540967584778882+0.001473162371386405j),(0.00484768947206309+0.005857929929031106j),(0.0031199529997709193+0.0026512566047229673j),(0.01091896871380514+0.009419906822434335j),(0.00794314358140588+0.004180883367444645j),(0.019572284071380636+0.012312966563152328j),(0.015452722183290014+0.005531908077916529j),(0.029453377185427322+0.0139144949485865j),(0.025171075685513588+0.006225831026399382j),(0.03917668356440361+0.013975809926962422j),(0.03612547997595462+0.006008883870611886j),(0.04742436834073388+0.012664898510149203j),(0.04688813061252372+0.004918710593932025j),(0.05308317973136617+0.01047070255390757j),(0.05586524018706811+0.003376150591951341j),(0.05536084239286298+0.008026165631388525j),(0.06165629876689874+0.002078114758865076j),(0.053873269812304385+0.006022899983065184j),(0.06325779155473876+0.001704673479628908j),(0.04878828162763382+0.00506748724713315j),(0.06011665478232403+0.0028306686120520928j),(0.040899027469681146+0.005378947378943456j),(0.052624900886033686+0.0058514030479676305j),(0.03135074972838773+0.00651253792599244j),(0.04231634851980369+0.009958617226472066j),(0.021262946164744737+0.007615861672525294j),(0.030232582058951928+0.012989888071587928j),(0.011909291303379095+0.007866500346444835j),(0.01704183627631242+0.014125987030519696j),(0.004716567233741087+0.006455202752745109j),(0.0062509503800030584+0.013125900158469947j),(0.0004871147778584017+0.0035248122021530664j),(0.0002531784145120328+0.007671229234892336j),(-0.0009397238568798615+0.0010868572418457098j),(-0.0035743774863237275+0.001120408093948442j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.000726099701785639+0.0008639154102825476j),(-0.00010244891449444712+0.00047901591337804817j),(0.001146756957223947+0.004531551614819619j),(0.0010974662945536717+0.0018680135123379721j),(0.006870128865637914+0.0066412629107515464j),(0.004352113682861854+0.003078388978100924j),(0.014772463744866748+0.009825861256879481j),(0.010430714383775491+0.0043000113013970335j),(0.025220114824556383+0.011783301717898025j),(0.019515976767573315+0.004797934167138976j),(0.03648344170924972+0.01189828715578735j),(0.03068607436230596+0.004159941648315749j),(0.04674220020185075+0.010349972871329676j),(0.042532359054744326+0.0023808688693965135j),(0.05450369406942347+0.007699247157369371j),(0.053277876681684905-4.174327709890278e-05j),(0.05867114553166101+0.004783780572353036j),(0.06124410039004222-0.002215911443979623j),(0.05863835705485172+0.002503347927446162j),(0.06509904409765213-0.0032069973635472527j),(0.05444757290069877+0.001638473909737068j),(0.0639567359282049-0.0021493209235027436j),(0.04685328792860439+0.002482325866989724j),(0.058012900726180275+0.001561345860547242j),(0.03700798260836481+0.004531338693120522j),(0.048648169777150085+0.00696698151820206j),(0.026075945951264976+0.006771117464046494j),(0.03649200484303977+0.011611169692456883j),(0.015475572299637875+0.00810638183035515j),(0.02212154453861976+0.014655239294803998j),(0.0068296167329552895+0.007337286519888789j),(0.009760735992997866+0.01516310217111506j),(0.0012068341515701078+0.004418021514001947j),(0.001767203888390656+0.00956498929228017j),(-0.001026866400204051+0.0016310371612694966j),(-0.004514106071427364+0.002207311164997306j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0008285560000753047+0.0013429315491095993j),(-4.441215354017733e-05+0.0006960535423710574j),(0.0022885956789166348+0.0057035403682931165j),(0.0017951261418468003+0.0023359891492528073j),(0.00942707275511049+0.007383796490435085j),(0.006083554499218762+0.0034678760633715133j),(0.01925295105892983+0.009762507010617297j),(0.01363337290976165+0.004129994332246556j),(0.03144185428256234+0.010421537230949011j),(0.024276876915599474+0.0033908028562467446j),(0.04367513538181485+0.008787829944879663j),(0.03658599070972866+0.0011500438366243864j),(0.05385180926312218+0.005654431308820599j),(0.048761025336586675-0.002123635772454237j),(0.06040674086297369+0.002032848663808852j),(0.058868568901083246-0.005405635837671386j),(0.06239302534260979-0.0008778021785358431j),(0.06519692568955977-0.00745672993986224j),(0.05964358531082386-0.0020114082932201393j),(0.0664850215390655-0.006993675557988687j),(0.052824197045170544-0.0009102115215439893j),(0.0626872918725779-0.0030854242723740493j),(0.04305169321407483+0.001929740464346939j),(0.054914312087556864+0.003252834444819162j),(0.031510928673318894+0.005362641812861489j),(0.04321770505480867+0.009413988788612037j),(0.01974642990941823+0.007984469697656645j),(0.028053426245693753+0.014643087442607826j),(0.00954373180321652+0.00811858615270383j),(0.014329878522087504+0.017064295531160067j),(0.0022605393530995134+0.005436112772178974j),(0.004006682059730456+0.011612676673404437j),(-0.0010325951644500628+0.002370303931632428j),(-0.005540969491886545+0.0038384100581568548j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0008729784739131068+0.002038987105077141j),(9.862127999109311e-05+0.0009901165040745671j),(0.003985053101151937+0.007049462878478503j),(0.0028652325120378545+0.0027954028680953476j),(0.012645375844735447+0.008056454320022067j),(0.008432777496410868+0.0036277994782057264j),(0.02433609505680478+0.009243792154958482j),(0.017588076773310517+0.003369162764735639j),(0.038107181865787064+0.008258403429122855j),(0.029566534861541663+0.0010948183091918j),(0.05079156339143374+0.004797718283500044j),(0.042566558531496226-0.002729089376631936j),(0.060197824682160006+0.00033484584850887667j),(0.05455583819889687-0.007098619997377001j),(0.06481742798302774-0.003599262507397766j),(0.06342451339417574-0.010530733791446143j),(0.06412835077701376-0.0055070511115947116j),(0.06747930442326046-0.011212887256424008j),(0.05863631108622933-0.004600805880526273j),(0.06639256987676388-0.007743401446546853j),(0.04938335897594346-0.0012554765512388468j),(0.06088023570136612-0.0010464616738687902j),(0.03755053102214476+0.0033142994363906126j),(0.05025553347579679+0.006350635109594259j),(0.024778418491772175+0.007375915744783405j),(0.034840050646324866+0.013928559996537936j),(0.012959858057894498+0.008699068823271669j),(0.02012203433459236+0.018621045294336634j),(0.003751655649192014+0.006561853524225508j),(0.007158249655659428+0.013696881649417502j),(-0.0008909789318216415+0.0033518574256541237j),(-0.006573548244668914+0.006208795255668875j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.000774371022638585+0.0030291089537513387j),(0.00038519536878842516+0.0013512566087277265j),(0.0064650415886543175+0.008493687911613342j),(0.0043714659766454006+0.0030840995469966714j),(0.01670671542784472+0.008600379038155869j),(0.011383636039381492+0.003314175216901425j),(0.030135284803835573+0.008327886436283774j),(0.022095453464905986+0.0017780815893379998j),(0.04518513993842243+0.0053855748275973905j),(0.035093836735264256-0.002043491209991293j),(0.057710163806777445+0.00019778637937135498j),(0.04842708574978862-0.0071385548426793006j),(0.06558109303823263-0.005070264567282293j),(0.05971842499974217-0.011985955250618078j),(0.06764340514146672-0.008352389206989113j),(0.06676594829046104-0.014273627347864647j),(0.06409557101554819-0.008283341006051426j),(0.06889015166819407-0.0119695485461199j),(0.055877591989112234-0.004913756341866628j),(0.06628894880565106-0.005692489655863535j),(0.04414976108985588+0.0005802622233377859j),(0.05740465688628443+0.002439602465254866j),(0.0306088470079032+0.006148242884909198j),(0.04244126751958159+0.012350928643841517j),(0.017177271307004877+0.00895364409855134j),(0.02727623581474707+0.019559340682738555j),(0.005805752558487702+0.007760786499196363j),(0.011415003000397776+0.015633675177821427j),(-0.0005050550046819973+0.004624984530834351j),(-0.007464489009051755+0.009560757141644114j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00038919313396055074+0.004380376281687457j),(0.0008670054669492554+0.0017388415447956317j),(0.00996946163096956+0.009839055962911236j),(0.006244205410044857+0.00303662656245019j),(0.021846222489971163+0.00887816641498243j),(0.014759105034583511+0.002398275327842263j),(0.0369038495872176+0.006951828127023528j),(0.02686470752293089-0.0005619201962055049j),(0.052708450845846896+0.0018388237972660857j),(0.040723958206167345-0.005689410675513522j),(0.06432551510735038-0.0047525205624727685j),(0.05406262854502432-0.011568201556296882j),(0.06988465072442937-0.009964355303833602j),(0.06421131368431374-0.015660068926680253j),(0.06897736663779706-0.011531042610619706j),(0.06996467892790005-0.015242877416193106j),(0.062376174581949904-0.008835886964174058j),(0.07087035633658864-0.010334591218252772j),(0.051229527809445695-0.002832757970504669j),(0.06442038911123137-0.0022111649020873413j),(0.03724719477419435+0.004174795582045435j),(0.05076250327611383+0.009764261795797397j),(0.02228770636632637+0.00873503879979276j),(0.03588008049155564+0.019537196087936047j),(0.0085735404361206+0.00897579589763755j),(0.016957065372415547+0.017158882896250928j),(0.00026371520121419535+0.0062354743234183385j),(-0.007969472313036671+0.014185872501477388j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00047779147969131676+0.006119236145851902j),(0.0015583503924033926+0.0021075247359606825j),(0.014655287695311506+0.010768294419260978j),(0.008310294492215962+0.0026615433346535494j),(0.02829512144223169+0.00861513871436697j),(0.018403667404092394+0.0010312774495115952j),(0.04484777794709104+0.004820294084123028j),(0.03185361847046455-0.0032572438320302042j),(0.06061789879148588-0.002426862328958805j),(0.04653658105611134-0.00933735799651586j),(0.07043627451055369-0.009767607197371119j),(0.05970196205391824-0.014982656645006807j),(0.07297863296264273-0.01379422737506645j),(0.06941782360234017-0.017009233192095286j),(0.06866978930038994-0.012682749931201104j),(0.07434712094674563-0.01450930466887475j),(0.05866791232259287-0.006833020896838851j),(0.07101877271921969-0.007382718952875112j),(0.04466559970967649+0.0013574888048349398j),(0.05964039107557896+0.006056855862967918j),(0.028369438632711262+0.007882369428407454j),(0.04593343609821416+0.018151213905944756j),(0.012234483206457841+0.010121020551296867j),(0.023922287275481402+0.017918459666965574j),(0.0016083097655041532+0.008216084471037692j),(-0.007705635618462636+0.020421505854281468j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0020361177497984387+0.008226789166603536j),(0.002452679568021587+0.0024794250513803765j),(0.020512871561058705+0.010950575286343208j),(0.010550469026239412+0.0022488563989130363j),(0.036148366865800495+0.00739784933780022j),(0.022462967318843848-0.0004319358345837408j),(0.053872519808060904+0.0015128306401547586j),(0.03741575798975586-0.005782519487329476j),(0.06859766665644867-0.0074183543826733915j),(0.05317176360679944-0.012153269727148079j),(0.07561703455042686-0.014430695626781176j),(0.0670419698501959-0.01677432855777046j),(0.07445296901207854-0.01594399555555695j),(0.07642652748500861-0.017660312245770315j),(0.0662863724445755-0.011194328971831667j),(0.07687891134351592-0.012728384807192726j),(0.05278997452583748-0.002337648970837894j),(0.0688234379757395+0.0011764182472025957j),(0.03548273494280989+0.006238139036121352j),(0.05730143991215358+0.014958234613669127j),(0.017001585464528804+0.011075339330317412j),(0.032365411744795194+0.017467997462364507j),(0.0037912940683018335+0.010571321970567864j),(-0.0060971326332693206+0.028637776700168937j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00448876907777507+0.010706255966978318j),(0.0036451312588225496+0.002984591781890427j),(0.027418149142786872+0.010215056743596358j),(0.013403170801412533+0.0021532391921352265j),(0.04520816917547762+0.004813136014944192j),(0.027527843613371124-0.0016144725309910344j),(0.0634396058514229-0.0032020663802755926j),(0.04469305534131149-0.007629332390198648j),(0.07597284988314981-0.012809218009171222j),(0.06258751146333136-0.014291256487320627j),(0.079223955108545-0.017887550545827385j),(0.07676203303445493-0.01920001286080965j),(0.0738243911762114-0.015475518726188627j),(0.08163071176042636-0.01776448591921773j),(0.0614977883495264-0.006826830184807346j),(0.07794436215103541-0.00483657654913108j),(0.04366929910399464+0.003675606865727866j),(0.06965638675448488+0.00952077263449246j),(0.02312795448692416+0.011675582586267805j),(0.042205033728599246+0.01528888456633666j),(0.007161814237735492+0.013254278473751232j),(-0.00230554469542226+0.0392093068280423j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00813386618897593+0.013690909925790064j),(0.005490394405474441+0.003754202137713029j),(0.03533082720645677+0.008614443553157254j),(0.017790634234204877+0.002406228370613164j),(0.0549454751157603+0.0007932048256609261j),(0.035000020487574196-0.0024659310594000406j),(0.07270611048869206-0.008883838120858025j),(0.05577143024768306-0.009898108016527898j),(0.08202000478784935-0.01752227093261463j),(0.07485439380215095-0.018656617288037167j),(0.08086939863649398-0.01889177454281487j),(0.0848001754522056-0.021874228172684234j),(0.07063903278843672-0.01181410356599466j),(0.08647801171470955-0.011799075993372616j),(0.052964470826386584+0.00013597951027711187j),(0.08241024021208458+0.0014880672312109343j),(0.030915622545701012+0.011708287424837413j),(0.05315950340636612+0.01083172045032732j),(0.012173216166024643+0.01613258768929481j),(0.004856701319773164+0.05246380204200502j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01362422021586287+0.017445208866644645j),(0.008684858393702028+0.004687838424940281j),(0.04443653378320666+0.006333437168531426j),(0.025037645237042973+0.0022958376127990383j),(0.06490831242487863-0.003967486497122518j),(0.04671629569282031-0.004852318584722097j),(0.08125891059576217-0.014211417922631751j),(0.0699431636240458-0.01603639198366344j),(0.08663172445981054-0.020139093475244077j),(0.08563855088344853-0.02435542762752207j),(0.08004850187257892-0.016599669754824666j),(0.09367057279888788-0.019293152923788404j),(0.06344689925671683-0.004319667606180814j),(0.09464556050391588-0.009270142979046202j),(0.040729329718295626+0.010894166867211083j),(0.06467595655940585+0.00360056090486299j),(0.019398742450222686+0.018939352557946394j),(0.017030533928537657+0.06859659012227516j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.02230904184319547+0.02213320261658091j),(0.014246545983466882+0.004990809068878162j),(0.055227801658563135+0.0036394054892784347j),(0.03606487794739193-0.0005171461610670933j),(0.07556078894583172-0.008301583347369355j),(0.06122910173543107-0.012307171431992005j),(0.08957702372700668-0.017924462643400196j),(0.08284892904537718-0.02468879485457359j),(0.08944230946884016-0.01976042876515119j),(0.09834202281923107-0.026496875883420184j),(0.07537756690502863-0.009395540822029189j),(0.10505999454403563-0.022443720450351732j),(0.0530326356864969+0.00885391035777575j),(0.07586302920604501-0.006707308481223593j),(0.02954163343271088+0.02120208882364189j),(0.036430134253718896+0.08753608445010025j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.036555587303546855+0.027124248491331153j),(0.02261702248149726+0.0024097235326240403j),(0.06867636418959097+0.0007136611411343446j),(0.0486817995163391-0.008888243960850922j),(0.08810951843280722-0.011719916700819094j),(0.07446220908851671-0.02313121617720091j),(0.09778383113792302-0.019310556160101234j),(0.09849546657853037-0.032087715410100394j),(0.08928941966823892-0.014169148561862861j),(0.11193979257567481-0.036911441078051055j),(0.06849791492354368+0.005072254973582324j),(0.08545538507788444-0.019991397152667345j),(0.04343942930873412+0.02213832697289735j),(0.06597293271190365+0.10873818888287881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05917269262342994+0.029534288242163458j),(0.031320500702560455-0.005559604641620067j),(0.08603894222874003-0.002614130244118929j),(0.059274769590597326-0.020754178438710816j),(0.10329807111529077-0.014096821190934264j),(0.0906553387353741-0.03458546398313164j),(0.10562446838344114-0.01681242150751306j),(0.11298625094812714-0.05006200514951179j),(0.08824302916457569-0.001018333694644053j),(0.09187172346893248-0.03542962839187291j),(0.06208048723653593+0.02051127983626251j),(0.10941390551541083+0.1308762998360285j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0904933889231031+0.023975058195822168j),(0.03634569667214118-0.016840100850347827j),(0.1089693091514213-0.006527917642743047j),(0.0714392287330776-0.03333630763352075j),(0.12251465507150638-0.015345727337817347j),(0.104743166202805-0.05767869277219674j),(0.11386744567452375-0.009195195678353058j),(0.09343383473106208-0.05095509622572575j),(0.08667960801096479+0.014508658307267394j),(0.1714963898492618+0.1513869664752079j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12683941744080773+0.007135378914996359j),(0.04014104930348816-0.02676784622181698j),(0.1402681339927504-0.013096176449613915j),(0.08251729831451038-0.054183952623815604j),(0.1447400297897572-0.018839646570971577j),(0.08857232493276741-0.062037663302256074j),(0.11872743316140154+0.0018899671535700553j),(0.25817854663526457+0.1658943600162269j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1669809366640166-0.01963204773873378j),(0.04596101166441621-0.03853406431853128j),(0.17682402036830314-0.028744982450545943j),(0.07370610611661126-0.06206466060879218j),(0.1596045715881312-0.018808986980629605j),(0.3769092810784669+0.1677820856099762j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.21294235388552527-0.058165619348982976j),(0.04905233443705487-0.04265336054666198j),(0.20147620358467297-0.04815166712011526j),(0.5365182765218162+0.14896984529416596j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.261995114914123-0.1008176542412224j),(0.7379997524348647+0.10081448633801016j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
