0,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,-13,13,-14,14,-15,15,-16,16,-17,17,-18,18,-19,19
(1+0j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.055732578314788436+0.0013982250188069572j),0j,(0.9442668125161062-0.001396977178509504j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.001918108399309078-0.0021617790736673517j),(0.001918108399309078-0.0021617790736673517j),(0.055732578314788436+0.0013982250188069572j),0j,(0.9442668125161062-0.001396977178509504j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.0005717279842168339-0.0020303877915494686j),(0.001918108399309078-0.0021617790736673517j),(0.005182430219032175-0.004454781376383476j),(0.001918108399309078-0.0021617790736673517j),(0.04974085228096305+0.0008458535565486135j),0j,(0.8945254621990568-0.002242595198629985j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.005384078546183861-0.004423579009707118j),(0.0007733763113685198-0.001999185424873111j),(-0.0009968134692203878-0.0006631115549535112j),(0.004836058757378559-0.009161886103434993j),(0.008224591000410295-0.005511898724621527j),(0.004836058757378559-0.009161886103434993j),(0.049927147273590766-0.004092346996507226j),0j,(0.8445976465558275+0.001849372159202601j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.0005878234357150895-0.0006387068312424586j),(0.010527338832295358-0.017157702029678867j),(0.008823840922052649-0.0053802944816425235j),(0.004787306031140149-0.010203161351469184j),(-0.0007988114685565228-0.0003106791262906137j),(0.003217075115307887-0.006742163481843785j),(0.00991739062859357-0.006296072688695026j),(0.003217075115307887-0.006742163481843785j),(0.04609803889599119-0.001803187277961721j),0j,(0.7984988079616684+0.003652078291834779j),,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.016107516849675745-0.023150884327654237j),(0.004246931471091216-0.009456202009770768j),(-0.0003881908887726602-0.0005156097246184106j),(0.006939901263047547-0.012442809341374397j),(0.010898790872788597-0.00617940472921897j),(0.003826598606804763-0.007726889993925777j),(-0.00015872962106237788+0.0004913149515953185j),(0.0036063917325680887-0.0015629950178109517j),(0.011980132368556336-0.007221507041923855j),(0.0036063917325680887-0.0015629950178109517j),(0.04299328132140184-0.003882293276667676j),0j,(0.7555046038655683+0.007533849599870903j),,,,,,,,,,,,,,,,,,,,,,,,,,
(0.004297439204501976-0.008825098145973296j),(0.01104493696648037-0.017133392235507625j),(0.020410833959429-0.02808428513799015j),(0.00437051861196557-0.007871754088403363j),(0.0002507287356025986+0.00016402980348167168j),(0.007171264893240859-0.0027021699840637523j),(0.013377377256286464-0.007208655099027049j),(0.004655641273990538-0.002126372803684165j),(-1.295450106717172e-05+0.00046663963989223775j),(0.005089063813019238+0.0012409803300274715j),(0.01358239516692853-0.007689502118175878j),(0.005089063813019238+0.0012409803300274715j),(0.041216186299874835-0.0023181245878100025j),0j,(0.7142875141062343+0.009851500584500798j),,,,,,,,,,,,,,,,,,,,,,,,
(0.014681897538165012-0.021340193646946153j),(0.004458868140386403-0.007491351871548383j),(0.004549903657322274-0.008452816761758273j),(0.010962009931849998-0.0040664032444694895j),(0.025061073303614078-0.03243176408699152j),(0.005588755871877067-0.002950805450059112j),(0.00028394204661253775+0.00011722691298110912j),(0.009509167718935035+0.0025386402001792334j),(0.01532589240713874-0.0078038184710418285j),(0.006213545914914259+0.0010572150638742393j),(0.0005039348381579158+0.0003490354572344513j),(0.0054080729066024145+0.0015858087785497995j),(0.015002359041251957-0.00828570216050336j),(0.0054080729066024145+0.0015858087785497995j),(0.038049279878127916-0.0025886698015517543j),0j,(0.676237331879559+0.012439744213870115j),,,,,,,,,,,,,,,,,,,,,,
(0.0045028096391907255-0.007720251017174726j),(0.014502644374983189-0.0057827997195259795j),(0.018432333006693037-0.025188138567448736j),(0.005500885808132813-0.0028437401130873494j),(0.004605384100312861-0.008079353851742842j),(0.013675525788302223+0.0031132496861747713j),(0.029049283559908972-0.03592164256616719j),(0.006955350811494154+0.00016948786919672177j),(0.000757967071484575-2.1939282844667394e-05j),(0.009861353475766246+0.003090643922125724j),(0.017036895760457405-0.008539393174525227j),(0.006402973863982123+0.001605681657805697j),(0.0005646994955988268+0.00034845342249894174j),(0.004434910270427863+0.001296694337491723j),(0.016250446427940792-0.008637895506236361j),(0.004434910270427863+0.001296694337491723j),(0.0366836955370317-0.00211536522741319j),0j,(0.639552792359443+0.014554708843824917j),,,,,,,,,,,,,,,,,,,,
(0.01767691530589304-0.00746075879291965j),(0.005354569964499849-0.0034344133080713326j),(0.004529710679392669-0.007413498186375696j),(0.01747560273042806+0.0030808194014527524j),(0.02170768792458208-0.02855942880730415j),(0.006610367519473625+0.0003021983904387623j),(0.004719404520821404-0.008011500985417353j),(0.013911276244307765+0.003884973681033386j),(0.032694763908728657-0.03916799838316026j),(0.006971647442759121+0.0009596078842245974j),(0.000796109932736146+3.472498686732406e-05j),(0.00794748088224007+0.002353066378296387j),(0.018539758545343527-0.009023170361407422j),(0.005229088211392704+0.0013387022795307332j),(0.000701749328947791+0.00010167874816108193j),(0.003276532504496949+0.0012684289138339207j),(0.01727705809776903-0.008953455063451007j),(0.003276532504496949+0.0012684289138339207j),(0.03420753157606069-0.001713633498172037j),0j,(0.6053444578926138+0.01626797829750082j),,,,,,,,,,,,,,,,,,
(0.005295094722111824-0.0032514873573642623j),(0.020583513533786187+0.002977020135816772j),(0.020412729789439317-0.009146395931694381j),(0.0063843741987590135-0.0003516336004134543j),(0.004368743606324647-0.007443288578310628j),(0.017621906978568046+0.004259913322113139j),(0.024644633981632018-0.03163650639288502j),(0.006523581034236868+0.001235045680131892j),(0.004832952833980452-0.007725242896153899j),(0.011225216434294694+0.0027186205844994225j),(0.03592263402354433-0.04182272440847631j),(0.005765915092521379+0.0008216969553225434j),(0.0009137607090412039-0.000195614947194193j),(0.0057489735621523395+0.002100362506443102j),(0.019785107522402114-0.009450266179233611j),(0.003872161678903956+0.0012471156806812256j),(0.000798297438934537+0.00011468671162716943j),(0.002606462460320815+0.00133161663960452j),(0.01818374732534261-0.009166744938777952j),(0.002606462460320815+0.00133161663960452j),(0.03267205148444689-0.0016850631685049336j),0j,(0.5726716518554211+0.017952688799319574j),,,,,,,,,,,,,,,,
(0.023263631676180545+0.002601538216241365j),(0.006294950576321788-0.00022822472488252032j),(0.00496096683242057-0.0033989839214047268j),(0.02057888146563712+0.004568767883553634j),(0.022794558442107152-0.010621399995138194j),(0.006337110090214302+0.0006467068643997759j),(0.004470322566148811-0.007214680821634342j),(0.014368286888035082+0.00287623215011839j),(0.027232955807195522-0.03430024957947855j),(0.005348568756481411+0.0011391543078845907j),(0.004789075602018232-0.007631015878398286j),(0.008172888853968269+0.0021603268893712457j),(0.03871198278414796-0.04412661975250343j),(0.004382786486904316+0.0006955837296694905j),(0.0010327853137017753-0.00015443652864996819j),(0.004508280047235264+0.0021146258029620824j),(0.020882067786447026-0.009770086806857618j),(0.0030644551404569844+0.001255652564147422j),(0.0007831865735393208-9.308682881548264e-06j),(0.002342678377624751+0.001205012574190292j),(0.01893785999741544-0.009311665105556637j),(0.002342678377624751+0.001205012574190292j),(0.030799324315705083-0.0012331332748326583j),0j,(0.5418716182298062+0.019185492227026424j),,,,,,,,,,,,,,
(0.005916206519791746-0.00047454830358214725j),(0.02319954499985103+0.004572383241558857j),(0.025581064405525458+0.0023248995357928416j),(0.006293827172374906+0.0007685360195143507j),(0.0049982320387682334-0.00329560957543171j),(0.01685823069162379+0.002974677493702712j),(0.024845315381846887-0.012011518033764566j),(0.005251903467541087+0.0006162711813714823j),(0.0043146046738756-0.007070544109227472j),(0.01065171048523407+0.0020860810030276723j),(0.029509228321975053-0.036606680766722924j),(0.004021880822778706+0.0009429179910391504j),(0.004887825711988468-0.007448521194569738j),(0.0064428125900926735+0.0020819808598082187j),(0.041165831114899576-0.04601039948771994j),(0.0035127805987631828+0.0006576361789516699j),(0.001015743726028964-0.0002580289243340733j),(0.004082743334383021+0.0018737709040241312j),(0.021806589767000256-0.010004736538932727j),(0.002748463325763129+0.001108096920850247j),(0.0008847147121141194-3.9990144011509425e-05j),(0.002188599684132828+0.0009245076133667967j),(0.019569709385358684-0.009399247851810873j),(0.002188599684132828+0.0009245076133667967j),(0.029172502651001027-0.00122286242660768j),0j,(0.512698444110862+0.02040803631327669j),,,,,,,,,,,,
(0.02547689718446175+0.004632928886492016j),(0.005958971646873109+0.00048142826549604545j),(0.005914785009198209-0.000503106902644147j),(0.019177317249973715+0.0028248823380752817j),(0.02754283885601142+0.00189416825936763j),(0.0052990008162471965+0.0007423618337929089j),(0.004760257341827509-0.003215725322092778j),(0.012613031951976907+0.00193567314666884j),(0.02669138780961968-0.013216341416235464j),(0.004007813653194493+0.0004551415485517939j),(0.004383467549235669-0.0069466326583825025j),(0.008506637647208545+0.0019180425385982266j),(0.031500911576824546-0.03857771413271318j),(0.0031959690602116728+0.0008154217924445645j),(0.004812152589887809-0.0072675460883668j),(0.005888639515298071+0.0017906831521156494j),(0.043265467385350545-0.047543568862258835j),(0.003154939557123773+0.0005341949414904668j),(0.0011324934371552489-0.00028569437148640324j),(0.0038932227438111676+0.001393727612572207j),(0.022582368280872993-0.010173990784392435j),(0.0025994620192820203+0.0008248032124055756j),(0.0008674374824088897-6.758917485963535e-05j),(0.0020186356526807744+0.0006633160176380964j),(0.02008907109694858-0.009439330777787549j),(0.0020186356526807744+0.0006633160176380964j),(0.027651364708018333-0.0009167165712791075j),0j,(0.4850464484266399+0.02132445016808721j),,,,,,,,,,
(0.005973872680242817+0.0003784505768040614j),(0.021226405146818034+0.0027510048552513385j),(0.02741695776303308+0.004466899430722396j),(0.005063159192628943+0.00046015142352287444j),(0.005632120821012547-0.0005356348501035337j),(0.014555688341168292+0.0015778374745384087j),(0.029322403212121293+0.001479936549443369j),(0.004138881955119078+0.000560693022836516j),(0.004759788363315442-0.0032104599605665106j),(0.010155374994986583+0.0016622072404382207j),(0.028261238423007484-0.014317556287855512j),(0.0032355621263181257+0.0003521262683162869j),(0.004298568597369376-0.006736998402909539j),(0.007822835912584175+0.0015898123734616157j),(0.033252843336443356-0.04024041169258701j),(0.0028904579949556065+0.0006406043801748968j),(0.004835072795819707-0.007133437281970446j),(0.005703895283358418+0.0012317597813027857j),(0.04506860895899327-0.048750490633658265j),(0.003010551251401264+0.00032023676632920273j),(0.0011208187134561895-0.0002978588870277101j),(0.0036595268458788567+0.000962772514035575j),(0.023230170898203117-0.010286090461256324j),(0.0024438672651905954+0.0005706767887071041j),(0.0009287502451622899-0.00012362791199616014j),(0.001857908700738738+0.0005027841181268157j),(0.02049956430518324-0.00943029276677156j),(0.001857908700738738+0.0005027841181268157j),(0.026109935258563314-0.0008253488334936786j),0j,(0.45893591531680905+0.022149509627075178j),,,,,,,,
(0.023024879665796874+0.0024690383519050175j),(0.005145905239604494+0.00033134662530962574j),(0.0057033358432515705+0.000277647411794167j),(0.016325204246130594+0.0013167425728969403j),(0.02918224255157944+0.0042617362918901105j),(0.004010707479784789+0.000294137503293311j),(0.005564819365613659-0.0006559697059823615j),(0.011858673049944075+0.001211249916159173j),(0.030790901211697235+0.0010014647869250018j),(0.00341097130185059+0.0004234268794841982j),(0.0046395664554161505-0.003087198797571231j),(0.009403707664961285+0.0013076436125284937j),(0.029669819654499566-0.015310211402131135j),(0.002959797859155437+0.00021441585439619266j),(0.0042843952411844655-0.006640069661594871j),(0.0076348313168096505+0.0009826238335602965j),(0.03476183173703358-0.04161746357597186j),(0.0028195026224886208+0.00041013088942887444j),(0.004783625024393803-0.00691855082013606j),(0.005443913956734957+0.0007439637624781964j),(0.04658924268215404-0.04966691200243196j),(0.0028740880729654066+0.00013924493227947932j),(0.0011836348543444828-0.00035285525060263327j),(0.0034052897043395608+0.0007266810066265757j),(0.023748316525541168-0.010338835246974912j),(0.0022801572445314256+0.00043195677166739616j),(0.0009410761097927917-0.00012237280725236433j),(0.0017377412212943087+0.00041478030781407795j),(0.0208129404950679-0.009390787312855597j),(0.0017377412212943087+0.00041478030781407795j),(0.024769664265722705-0.0006492962898932662j),0j,(0.4341656879387227+0.022798529059053104j),,,,,,
(0.004952185389160572+0.0002115583237050196j),(0.017941078883491373+0.0008754378863113782j),(0.024699660515033053+0.002168610860678095j),(0.004166994636458775+0.00015624904053855799j),(0.005619866997171546+8.90795639753882e-05j),(0.013457812071106013+0.0008576423750804514j),(0.030634399268643343+0.003947465847981342j),(0.0033583377852948425+0.0001737442959693407j),(0.005397943911979473-0.000646903790050414j),(0.011039498270855935+0.000842911900866969j),(0.03209946742920308+0.0004726417331351845j),(0.0031436046442848576+0.00026228662721907207j),(0.004564259691117951-0.003093444298207j),(0.009254327097521602+0.0006888268969874985j),(0.03085576612963841-0.016183373916139655j),(0.002908403736665062+3.7900844310955704e-05j),(0.004247642350915998-0.00644073330271894j),(0.007356943804890652+0.0004571583221928292j),(0.036066255573625326-0.042748973753700785j),(0.00276280301897529+0.00022525377730089934j),(0.0047405939685544645-0.006774478530104161j),(0.005105266736993593+0.000519975775489937j),(0.04785581997358202-0.05031778221229933j),(0.0027088076906507993+6.829598093676755e-05j),(0.0012021915221412849-0.0003425118594744136j),(0.003196384738233644+0.000631841722460134j),(0.024154185100945597-0.010354644274155687j),(0.002140547185891677+0.0003806767489108798j),(0.0009623787769784142-0.00016920433582604715j),(0.001644673475223748+0.0003505147888101349j),(0.02104040063519272-0.009311167513611971j),(0.001644673475223748+0.0003505147888101349j),(0.023395864137154658-0.0005159317308991223j),0j,(0.4107692912423811+0.023314197212827473j),,,,
(0.01950480051484806+0.0004419924965046025j),(0.004072522120343656+3.531678192853177e-05j),(0.004916479177926744+4.92925515446261e-06j),(0.014955841438731396+0.0003424975175772642j),(0.02611545182905487+0.0017795308904320678j),(0.0035531495374825682+3.5684701670295745e-05j),(0.005447212915336634+3.350566368818889e-05j),(0.012596995140289273+0.0004717900363576245j),(0.03192443002256187+0.0035376795201703328j),(0.00312796046467666+4.0864750415004116e-05j),(0.005259198247658759-0.0007560454063410928j),(0.010901378883262458+0.00023516281675372015j),(0.033170518494226996-5.831715114544515e-05j),(0.0030876123884552528+7.934369074771032e-05j),(0.00449880825651686-0.003003343924927925j),(0.008996744056947963+0.00016920658274811984j),(0.031880460877624264-0.016981465129565266j),(0.0028680733855039717-8.805036889458338e-05j),(0.00418127884647966-0.006316070394368438j),(0.00694747353338431+0.00024082746273653682j),(0.03717174332404981-0.04363831693599176j),(0.0026631040973151402+0.0001523045654102146j),(0.004702861823841436-0.006569933554308004j),(0.0047884209179611965+0.0004908478784531254j),(0.04888509662413233-0.050736495116866016j),(0.0025424182284375274+8.5117002542561e-05j),(0.0012206086226673235-0.00038313742849404117j),(0.0030245405833409095+0.0005781097332958602j),(0.024458623003980905-0.01032138302811399j),(0.002021373993142825+0.0003576262325656389j),(0.0009871570953863015-0.0001727608015143576j),(0.0015522527086962842+0.00029125015766877j),(0.02118253022907885-0.009206812674637736j),(0.0015522527086962842+0.00029125015766877j),(0.02217097330941491-0.00040683020520280045j),0j,(0.3885978153215954+0.02372077513767665j),,
(0.004107313541148117-0.00016812384204854596j),(0.01644851173560928-0.00015681306335860732j),(0.02087957187107346-5.3049533358409873e-05j),(0.0035330446215075793-7.982022355222106e-05j),(0.00480119195959369-7.235906236469425e-05j),(0.014058714937095273-3.9121703583627876e-05j),(0.027406802873807163+0.0013153016799194394j),(0.003322898522015965-8.306886665863098e-05j),(0.0052906173501347555-0.00012483783816556718j),(0.012474393121275821-0.00012076240483670093j),(0.032980446750540196+0.0030935822072996784j),(0.0030894428766723653-0.00010113200116545663j),(0.005145748803249937-0.0007761202275172902j),(0.010641857119170818-0.0002596577310440431j),(0.03407134761037022-0.0006393537632831274j),(0.0030443398550410406-4.803508808925474e-05j),(0.004389159251011759-0.0029756336640566305j),(0.008552249604043048-6.054051743734285e-06j),(0.0327376228857228-0.017667437653165776j),(0.0027793041847943975-0.00010965138258783581j),(0.004150353831180578-0.006146672492974524j),(0.0065304215714794564+0.00025943486753001913j),(0.03809446529663939-0.04432548956499542j),(0.0025412543148392286+0.00016886738149725464j),(0.004630411931354817-0.006399113818640517j),(0.0045083287081818055+0.0005111525486727231j),(0.04970255242147294-0.050942059254499496j),(0.002385471340751808+0.00012842108420490762j),(0.001248286278375955-0.00038148554968060863j),(0.0028499484825850368+0.0005204541810369617j),(0.024663488022936966-0.010257443823188021j),(0.0019011513668805893+0.00033267213121671035j),(0.0009890941605349391-0.00019841296005220253j),(0.0014511665807368803+0.00023965473783704467j),(0.021257152691026737-0.009075058459724072j),(0.0014511665807368803+0.00023965473783704467j),(0.020965735240872814-0.0002792655946624095j),0j,(0.36763160547187895+0.023999800519498793j)
