(0.0005793104592243799+0.006071450377434971j),(0.0009634312954937931+0.001298176357422741j),(0.012638531667102704+0.0038527708799143113j),(0.0035339537432064754+0.0009280018183126609j),(0.014101287559261903+0.0041519471386019715j),(0.007007046958157683+0.0011465037696202253j),(0.023470369196144376+0.004640427237099881j),(0.011830061210191397+0.00037878362444329486j),(0.030554097448223842+0.0009673345446050809j),(0.01697967088790667-0.0011108593710533873j),(0.03561023074565013-0.0024873610932940947j),(0.022506940780638307-0.002558890342549845j),(0.03931426524771752-0.004580185996919786j),(0.029244817556751363-0.004465258183098974j),(0.04289028487608694-0.0058577337904593815j),(0.03519045555267312-0.007824766303255765j),(0.04521615494447809-0.0068692996024810405j),(0.03818457486089404-0.01031365819354401j),(0.04603475117953364-0.0071738471209145055j),(0.041552717642444524-0.006577897736956221j),(0.04510269787526071-0.0071169523659918195j),(0.0509671339269898-0.006912588238743794j),(0.041692546513760524-0.005583006847895304j),(0.050133218813232745-0.009884820156455703j),(0.03757352936573957-0.003182779615627183j),(0.05115927426414725-0.002810563628133188j),(0.03096227811357458-0.0004274332686325905j),(0.04867979788913744-0.006071885593166486j),(0.024740472619537636+0.0032512476593876375j),(0.03609782142936262+0.009594171332634566j),(0.016558704926365214+0.003811866525933882j),(0.04193714873772173+0.0034081429474450103j),(0.009225752792199579+0.007055964123706137j),(0.03235896161731418+0.02737227171594668j),(-0.00044413966539909484+0.006175456240075639j),(-0.014208844731421973+0.01762788441722186j)
0j,(0.0015427171770675454+0.007369651295656827j),(0.001362394595541025+0.0014615622475435564j),(0.014810040111338124+0.003319298131667596j),(0.004254263645993142+0.0008833793067407384j),(0.01685412934706887+0.004415185740392155j),(0.008346551212675924+0.0008984420697898845j),(0.026953978810439955+0.004120874013429872j),(0.01364967373417273-8.079056720136571e-05j),(0.0338842209645029-6.264526505374827e-05j),(0.01958182730734749-0.0014665968050155114j),(0.03853553434853911-0.003579570055949054j),(0.026375302170346684-0.003806856809599471j),(0.04218401486723491-0.005238489401316843j),(0.03237589411949857-0.007228673047795556j),(0.045705129934321534-0.006453685297360618j),(0.03598276328943611-0.009611683670832986j),(0.04741828721745783-0.007571050920883601j),(0.04061252054076347-0.006095036180430725j),(0.046975289280540136-0.007656388095055066j),(0.051560111069013356-0.007824779707769666j),(0.04451006737688865-0.006204323824907199j),(0.05063084726225649-0.011283565758886505j),(0.04119527472155513-0.00418371827147436j),(0.053927705261828864-0.004458940920900928j),(0.03480530032764884-0.0015338044644260175j),(0.05102864998688361-0.008546191088481397j),(0.028613689990934825+0.0020477091555077837j),(0.04155249311537045+0.009721070750622389j),(0.019286034770943244+0.0031247990501064443j),(0.04697082300874107-1.5732673173875222e-05j),(0.011524979834899283+0.007236005561802837j),(0.041166299018710606+0.02679689623872536j),(0.0004183227216567184+0.007631443711484801j),(-0.014652945080579181+0.023803456648393832j),0j
0j,0j,(0.0029050852381291166+0.008831247023610685j),(0.00187901961022234+0.001602504321861843j),(0.01718523084021779+0.002600282671368351j),(0.005106723877404812+0.0007845073681685439j),(0.02009402363524385+0.004529232847993865j),(0.009841824427457365+0.0006503155786155195j),(0.03076191759649884+0.00338989142208623j),(0.016083843253662935-0.0005044637379210654j),(0.037382350922366886-0.0010246434621313837j),(0.023154025953075447-0.0029791585787206903j),(0.0417570783670048-0.004407160821029639j),(0.028990132923785387-0.006592520084810858j),(0.045570022620023694-0.005874570105410669j),(0.033176153599855956-0.008553306659243101j),(0.04851200337498642-0.007511865325220611j),(0.03929836340690331-0.005546878400877943j),(0.048732765225982855-0.008118896674098354j),(0.051412303455788386-0.008596189868549311j),(0.047123461086125015-0.006884553800043254j),(0.05047312413149587-0.01244158648073396j),(0.04466816695882071-0.005045785246065947j),(0.056186700439813914-0.006046815473342463j),(0.03893649271011304-0.0025952171056977547j),(0.05295774157957589-0.01068242933166779j),(0.03287656473182167+0.0006033447326176584j),(0.0477753842475524+0.009487353493898698j),(0.02239108523552941+0.0022818964192073965j),(0.05205982771630725-0.004135301449319501j),(0.014196980778932472+0.007244677424986808j),(0.050988551465635884+0.0247537968975381j),(0.0017026159342101057+0.009279253987209083j),(-0.014234556200863183+0.03143503634201541j),0j,0j
0j,0j,0j,(0.004784077137919638+0.010433795663132779j),(0.0025267736582272517+0.001690635000180862j),(0.019765123611843287+0.0016942877762836889j),(0.006087200589878359+0.0006398103631601355j),(0.02384871845332767+0.004539848977087983j),(0.011805784147430626+0.0003673268405391169j),(0.03504008779747724+0.0025182626495356335j),(0.019116045831104874-0.0018963686399096787j),(0.04142055271346029-0.002107279309609464j),(0.025272976487877467-0.005662108589501439j),(0.04547451695116948-0.005337540506604648j),(0.029786098813019208-0.007284469742295188j),(0.04896027996560911-0.007143274225615445j),(0.03741121037883939-0.004946893021509843j),(0.050399420855655554-0.00811154103012147j),(0.05024769387463172-0.009108668533405844j),(0.049897763776268346-0.007605991306089595j),(0.04962775721285447-0.013243395788831581j),(0.04796922758457759-0.006082267739952017j),(0.057697152168568216-0.007315106506986832j),(0.043157940242189045-0.003776832037339523j),(0.054595838764826224-0.01222046855705514j),(0.03729885825008031-0.0010562065990292135j),(0.05480426549102636+0.008717738764482732j),(0.025848022356377523+0.001373442574568077j),(0.057178473007833325-0.008928893712095348j),(0.01727239729575728+0.007075850494494336j),(0.06165077947083956+0.02090039529998032j),(0.003534625807682268+0.011098288311937744j),(-0.012531838217808594+0.04071444646734457j),0j,0j,0j
0j,0j,0j,0j,(0.007310822602246749+0.012124488164158308j),(0.003307515918089115+0.0017087240811672374j),(0.022544739207766402+0.0006255357045362464j),(0.007245745711892536+0.0004878781375070679j),(0.02840881699947208+0.004419398332660224j),(0.014197303508769665-0.0005158135329987445j),(0.03995897707219485+0.0011378775954725211j),(0.02103017976766488-0.0040760439405090705j),(0.04566359676581059-0.003693243692340342j),(0.026113970864936244-0.00589229752541333j),(0.049146842011763045-0.006729647139480637j),(0.03479576166767843-0.004395248099615596j),(0.05157591117292432-0.007694648842221756j),(0.047814409127732084-0.009332984056036626j),(0.052833097815641994-0.007886774420208026j),(0.048025898985884934-0.013607154913943596j),(0.05150005335884374-0.00724180965259901j),(0.05807835565410604-0.008010687845400488j),(0.04758824440557079-0.005385986194541373j),(0.056089455602314875-0.012855621066084549j),(0.04166490275932828-0.0031406694748064242j),(0.0625632694360909+0.0072804842051478824j),(0.02954023572615029+0.00038154141858298836j),(0.062278816222908366-0.014275963968014367j),(0.02074764830938268+0.006720943249703456j),(0.07286161353382764+0.014931082641943053j),(0.006061429494097517+0.013045454051357229j),(-0.008997063095676262+0.05181290971887474j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(0.010618310928548695+0.013833286433245261j),(0.00425215835355214+0.0016572309186350365j),(0.02553823766520452-0.0005436090431201643j),(0.008663000819390452+0.00030906489478275663j),(0.0339431233262641+0.0035946261845288697j),(0.01607419305893232-0.0018634704155889824j),(0.044915106754328284-0.001074510862641485j),(0.02219575977784397-0.004211967762366749j),(0.04958199970128213-0.005373446633368041j),(0.03140684743801716-0.0037480983481780186j),(0.05253591714026139-0.007376569802910982j),(0.044079678752634466-0.00917047533915372j),(0.05531101070521444-0.007856700408381906j),(0.045648739220674105-0.013581289598034332j),(0.055210699638941416-0.007912283392207677j),(0.0569597940472474-0.008021459480961387j),(0.052618818565646396-0.007230303642322577j),(0.0575301516613438-0.012364271522546611j),(0.046148253434423636-0.00587631715076526j),(0.07075480142055347+0.005066099998621064j),(0.033473771127057725-0.0009257865999588165j),(0.06720903788846597-0.020002988290836615j),(0.024609988464546984+0.006109091020839177j),(0.08415896305529938+0.006612780969284832j),(0.009450170213048188+0.01503964770865131j),(-0.0029354228280169016+0.06485855443149732j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(0.014870444819948854+0.015490612584965367j),(0.005432345298866188+0.0014920256253530518j),(0.028768784840932492-0.001726287599371499j),(0.010360607314651268+0.00013636413400391846j),(0.03965662588345948+0.0015949926072027932j),(0.01765918557921003-0.0020550440768239116j),(0.049451836532048-0.0032311649460939466j),(0.026939406401472916-0.002921843674303091j),(0.05404962404039113-0.006199438603503216j),(0.03942022580218556-0.008206643659448372j),(0.05719574357019335-0.00833997347710297j),(0.042609803918515175-0.013071838109107378j),(0.05835039947689638-0.008365872021020924j),(0.05417980900097612-0.007562353679943805j),(0.05799083847824943-0.008370640238928648j),(0.058923887400066-0.010722923844430604j),(0.05122590984698849-0.008870653765225138j),(0.07882794089798274+0.0019433254688238396j),(0.038075501183184306-0.0027530520131186223j),(0.07172150891806556-0.02601904623838873j),(0.028961256051458977+0.005090911813481299j),(0.09487152200348173-0.004217643790641993j),(0.013897316040877298+0.01694006528776294j),(0.006515036285101666+0.07989840366182913j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.02030277230004874+0.016982758906745197j),(0.00687119437787127+0.0011107500002451812j),(0.0322580781104108-0.0027002825279200194j),(0.012600095400872355+0.0001278934426345172j),(0.044715651085625786-0.0005875305959358867j),(0.021544180470666665-0.0011875558850258537j),(0.05484734356700338-0.004965101739020796j),(0.03361908148383069-0.005842135496149892j),(0.059851145729113604-0.00856349491915155j),(0.0393132402618128-0.011677158866485621j),(0.06049279129410036-0.009734445415298242j),(0.05028640604282664-0.0071139241654932j),(0.06224391047077272-0.008813590466810151j),(0.060160149562727104-0.008205455441105389j),(0.05675550695991461-0.01088717043470485j),(0.08604501421054121-0.0022345615239302992j),(0.0440091853890386-0.00469229885377492j),(0.07564448272989839-0.03237792456745657j),(0.03415244585193679+0.00360657963453274j),(0.10418037726416896-0.017664886307264385j),(0.019652313265486374+0.018538875054348255j),(0.020412736835927293+0.09683867328064708j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.027173959476694733+0.018093661634400952j),(0.008550213573980756+0.0004944515818626598j),(0.03630785306955979-0.003066283864349845j),(0.015912043401254385+1.5060940785235313e-05j),(0.050347928480288885-0.0017896063707825843j),(0.027558593434783705-0.0027560985379126816j),(0.060908220680549664-0.00805087105698108j),(0.03623251826699506-0.008618563507395807j),(0.06293241451361348-0.011621885736029755j),(0.046040540738592546-0.006422037680885564j),(0.06473876419729338-0.010425716709981275j),(0.0610038486643809-0.005792459180062437j),(0.061401234011312214-0.011225775278744974j),(0.09154964052356489-0.00743842834194211j),(0.05125116179700979-0.005682853756038111j),(0.07901626894837575-0.03907025677992405j),(0.0406373013938527+0.0020008985946852074j),(0.11131114632287575-0.03365045754893328j),(0.027021650966525677+0.019593046702074214j),(0.040065547728138556+0.11537773947487628j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03572418641494341+0.01858830858960351j),(0.010676823196146096-0.0003444460334087261j),(0.04154307296076428-0.0027059869811495944j),(0.02036548215890265-0.0008230797343967109j),(0.05754132596429369-0.0037221571867064006j),(0.03179148678675282-0.005130769905401599j),(0.06534952159987009-0.01153841098513029j),(0.04232461851581922-0.0056554879122158236j),(0.06664853623473843-0.012387817656491964j),(0.061312677975898934-0.0043162735257326924j),(0.064431096543473-0.011901259782137675j),(0.09447126063492509-0.01337926155175906j),(0.05847976186241169-0.005284542455760689j),(0.08186796979301654-0.045757528885830845j),(0.048399391471493275+0.001005449170162446j),(0.11566707714460386-0.051505574381482566j),(0.036281497143628494+0.019857094397350818j),(0.06708783224237552+0.134970934343131j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04640106568203892+0.018244105569679533j),(0.013594989829413907-0.0018842234532504502j),(0.04831384130771005-0.0016438468231916355j),(0.025784460564605274-0.0026813256601676233j),(0.06354853618177085-0.006171144480548611j),(0.038806655005539925-0.004294446871339991j),(0.06886773617654895-0.012898771154053057j),(0.05997957773695221-0.003278087052139795j),(0.06798283664276919-0.013425312369068649j),(0.0941457451403052-0.01981287819756831j),(0.06475666022732068-0.005467448604292288j),(0.0837451010645825-0.05181697776236698j),(0.05660256249112995+0.0007762117987168762j),(0.11656240704003312-0.06945927891461517j),(0.04750446341593593+0.01896048785868152j),(0.10337013843524871+0.1548280946753634j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05999617530777682+0.016360158731187395j),(0.01684692894360801-0.005024833685842652j),(0.05725204706559334+0.0007006973737355877j),(0.03222937893305131-0.005588581896756617j),(0.0701261060736244-0.004876138960139914j),(0.05468100131034848-0.006186379532189253j),(0.07416727733396063-0.009989848284707422j),(0.08888652573602618-0.0247598982995057j),(0.07324230106706156-0.008478285350478395j),(0.08368264567651464-0.0570774767146363j),(0.06481887877283214-0.00020539435429009142j),(0.11257577510571166-0.08469811065310562j),(0.06058992282617288+0.016016764387418066j),(0.15087564061940492+0.17378854114224207j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07684328540003374+0.011335618486252315j),(0.01914525037549893-0.009560280704167364j),(0.07033723211076545+0.004673195500515734j),(0.04141514268893364-0.01009642923517862j),(0.08339285165612097-0.0009654613129577856j),(0.07586128003419335-0.02584363259251437j),(0.08719297553791944-0.008906035149394344j),(0.0811858379461362-0.06104264001006297j),(0.0757388342423009-0.0045116213273444054j),(0.10151079494652773-0.09427621045228204j),(0.07588482510469553+0.009374873905130737j),(0.2114668528782247+0.18980516315367857j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09598877314630327+0.001775658828805593j),(0.020699600311932385-0.014048561740987158j),(0.0910537929433361+0.008625658065303179j),(0.05378335650268227-0.02326835470270552j),(0.10547112240444965-0.0035404684582950735j),(0.07349053395754565-0.05950677965546069j),(0.09488815952841491-0.010440029088753182j),(0.08205433973781233-0.09637339671924275j),(0.0951964817455688-0.0024120349966200057j),(0.28735313001617313+0.19917975806067187j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.11668869321096358-0.012272550499785331j),(0.0232322376342151-0.019323467422426827j),(0.12160541500287678+0.00468111788783972j),(0.05377472359502799-0.04969925061495699j),(0.12518668502328395-0.0133465583800121j),(0.056743354636592455-0.08866105131565988j),(0.12020081717996825-0.018149736920806854j),(0.3825510926692069+0.1967670608622586j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1399213122553545-0.03159567393628655j),(0.024343598956437066-0.027803413846284167j),(0.15103658068058762-0.017213817920093806j),(0.03236997878895339-0.0682380228951233j),(0.14956214637602472-0.0337664988125742j),(0.5027535749017149+0.17861570299386204j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.16426522437009156-0.059398656968697436j),(0.019814678532506083-0.03356377055988444j),(0.16359177282636855-0.05188513929824401j),(0.6523185036723186+0.14484665742593705j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.18408025553888008-0.09296151700979377j),(0.8159146118082399+0.09295834910496766j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
